Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
878,I am a developer by profession,Yes,48.0,10,Yearly,170000.0,United States,United States dollar,USD,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,"Developer, full-stack;Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;Go;JavaScript;R;Ruby;SQL;TypeScript,C#;Go;JavaScript;Objective-C;Ruby;SQL;TypeScript,.NET Core;Node.js;Teraform,.NET Core;Node.js;Teraform,Github;Slack;Microsoft Teams;Microsoft Azure,"Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Critically important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Yes,Yes,Often: 1-2 days per week or more,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,500 to 999 employees,AWS;Kubernetes;Microsoft Azure;Raspberry Pi,AWS;Kubernetes;Microsoft Azure;Raspberry Pi,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET Core;React.js;Ruby on Rails,Angular;ASP.NET Core;React.js,Just as welcome now as I felt last year,50.0,35,26
879,I am a developer by profession,Yes,47.0,13,Yearly,124089.0,United Kingdom,Pound sterling,GBP,Microsoft SQL Server,Microsoft SQL Server;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,"Industry that I’d be working in;Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with",Slightly satisfied,I am not interested in new job opportunities,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,.NET;.NET Core,.NET;.NET Core,Confluence;Slack;Trello,Confluence;Github;Slack;Trello,No,Somewhat important,Fairly important,Better compensation;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once a year,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,"Just me - I am a freelancer, sole proprietor, etc.",AWS;Docker;Microsoft Azure;Windows,Arduino;AWS;Docker;Microsoft Azure;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;ASP.NET Core;React.js,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js,Just as welcome now as I felt last year,38.0,34,25
880,I am a student who is learning to code,No,59.0,56,,,United States,Pound sterling,,Microsoft SQL Server;Oracle,,System administrator,"Associate degree (A.A., A.S., etc.)",Employed full-time,"Black or of African descent;Hispanic or Latino/a/x;Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)",Man,Remote work options;Opportunities for professional development;Family friendliness,,"I’m not actively looking, but I am open to new opportunities",Python,HTML/CSS;Java;VBA,,,,,,,,,,Once every few years,Not sure,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,,Raspberry Pi,Linux;Windows,,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per month or weekly,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",,,A lot more welcome now than last year,,1,
881,"I used to be a developer by profession, but no longer am",Yes,59.0,16,,,United States,Pound sterling,,MongoDB;MySQL;PostgreSQL;SQLite,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,,,,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;R;SQL,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python,Node.js,,Github,"Google Suite (Docs, Meet, etc)",,,Fairly important,,,Once every few years,Yes,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Research companies that have emailed me,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,,Docker;Windows;WordPress,Linux;MacOS;Windows,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Appropriate in length,No,Mathematics or statistics,Flask,,Just as welcome now as I felt last year,,43,12
882,I am a developer by profession,Yes,38.0,8,Yearly,120000.0,Croatia,United States dollar,USD,,Microsoft SQL Server;MySQL;Redis,"Developer, back-end;DevOps specialist","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Very dissatisfied,I am not interested in new job opportunities,Go,C#;JavaScript;PHP;SQL,,.NET;Ansible,,"Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Trouble with leadership at my company,"Company reviews from third party sites (e.g. Glassdoor, Blind);Directly asking current or past employees at the company",Once every few years,Not sure,Yes,No,Never,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,10 to 19 employees,,Docker;Linux;Raspberry Pi;Windows;WordPress,,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,,,ASP.NET;jQuery,Just as welcome now as I felt last year,60.0,20,20
883,I am a developer by profession,Yes,35.0,30,Yearly,82000.0,United States,United States dollar,USD,PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis;SQLite,"Database administrator;Developer, back-end;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Hispanic or Latino/a/x,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Python;Rust;SQL,Bash/Shell/PowerShell;C#;C++;JavaScript;Python;SQL,Ansible,Ansible,Gitlab,Confluence;Jira;Github;Gitlab,Yes,Extremely important,Critically important,Curious about other opportunities;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",,Yes,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),,Linux-based,"10,000 or more employees",Docker;Linux,Docker;Linux;Windows,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,A few times per week,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Flask,Flask,Just as welcome now as I felt last year,40.0,5,1
884,I am a developer by profession,Yes,41.0,10,Yearly,0.0,United States,United States dollar,USD,Elasticsearch;MongoDB,MongoDB,"Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Engineering manager;Product manager;Scientist;Senior executive/VP","Other doctoral degree (Ph.D., Ed.D., etc.)","Independent contractor, freelancer, or self-employed",White or of European descent,Man,Industry that I’d be working in;Financial performance or funding status of the company or organization;How widely used or impactful my work output would be,Very satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Rust,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python,Keras;Node.js,Node.js,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",,Somewhat important,Critically important,Having a bad day (or week or month) at work;Trouble with my direct manager;Trouble with leadership at my company;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,No,,No,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow Talent (for hiring companies/recruiters),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Visit another developer community (please name):,Linux-based,2 to 9 employees,Docker;Linux;Raspberry Pi,AWS;Docker;Google Cloud Platform;Linux;Raspberry Pi,,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",React.js,React.js,Just as welcome now as I felt last year,50.0,25,10
885,"I am not primarily a developer, but I write code sometimes as part of my work",No,24.0,13,Yearly,89000.0,United States,United States dollar,USD,Microsoft SQL Server;MongoDB;SQLite,Microsoft SQL Server;SQLite,"Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian,Man,Flex time or a flexible schedule;Financial performance or funding status of the company or organization;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;Java;JavaScript;Python;SQL,C#;HTML/CSS;JavaScript;SQL;TypeScript,.NET;Flutter;Node.js;React Native,.NET;Node.js;React Native,Github;Microsoft Teams;Microsoft Azure,Github;Microsoft Teams;Microsoft Azure,Yes,Extremely important,Critically important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,Not sure,Yes,No,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Windows,"10,000 or more employees",Android;iOS;Linux;MacOS;Microsoft Azure;Windows,Microsoft Azure;Windows,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;jQuery;React.js,ASP.NET,Just as welcome now as I felt last year,50.0,9,3
886,I am a developer by profession,No,42.0,36,Yearly,58992.0,Canada,Canadian dollar,CAD,MariaDB;MySQL,MariaDB;MySQL;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, full-stack;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Middle Eastern,Man,Flex time or a flexible schedule;Remote work options;Opportunities for professional development,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;PHP;Python,HTML/CSS;Java;JavaScript;PHP;Swift,,,Jira;Github;Microsoft Teams,Jira;Github;Slack;Microsoft Teams;Trello,Yes,Extremely important,Fairly important,Having a bad day (or week or month) at work;Better compensation;Trouble with my direct manager,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once a decade,Yes,No,No,Never,Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,MacOS,"5,000 to 9,999 employees",AWS;MacOS,Android;AWS;iOS;MacOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,Web development or web design,jQuery;Laravel;Vue.js,jQuery;Laravel,Just as welcome now as I felt last year,36.0,6,3
887,I am a developer by profession,Yes,38.0,14,Yearly,160000.0,United States,United States dollar,USD,Elasticsearch;Firebase;PostgreSQL;Redis,Elasticsearch;Firebase;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Black or of African descent;White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Remote work options",Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL;TypeScript,Ansible;Apache Spark;Hadoop;Pandas;React Native,Ansible;Node.js;Pandas;React Native,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Not at all important/not necessary,Curious about other opportunities;Better compensation;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,No,No,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,MacOS,"1,000 to 4,999 employees",AWS;Docker;Kubernetes;Linux;MacOS,AWS;Docker;Heroku;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Daily or almost daily,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",Django;React.js,Django;Express;jQuery;React.js,Just as welcome now as I felt last year,45.0,22,15
888,I am a developer by profession,Yes,26.0,15,,,Argentina,United States dollar,,PostgreSQL,PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Not employed, but looking for work",White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Family friendliness,,I am actively looking for a job,JavaScript,HTML/CSS;JavaScript;Ruby,Node.js;React Native,Node.js,"Github;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",,,Somewhat important,Having a bad day (or week or month) at work;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos",Once every few years,Not sure,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow,Linux-based,,Docker;Linux,Docker;Linux,,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,A few times per week,Easy,Appropriate in length,No,,Express;React.js,Express;React.js;Ruby on Rails,Just as welcome now as I felt last year,,11,
890,I am a developer by profession,Yes,32.0,8,Monthly,63036.0,Israel,Israeli new shekel,ILS,Elasticsearch;MongoDB,Microsoft SQL Server,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,Middle Eastern;White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",Slightly satisfied,I am not interested in new job opportunities,TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,,.NET,Jira;Github,Github;Microsoft Teams,No,Neutral,Not at all important/not necessary,Better compensation;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,Yes,Onboarding? What onboarding?,Yes,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Annoyed,Stack Overflow (public Q&A for anyone who codes),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,20 to 99 employees,AWS;Docker,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Daily or almost daily,Easy,Appropriate in length,No,,Angular;React.js,Angular;ASP.NET;jQuery,Just as welcome now as I felt last year,,24,7
891,I am a developer by profession,No,24.0,15,Yearly,71000.0,United States,United States dollar,USD,PostgreSQL,Oracle,"Developer, back-end;Developer, full-stack;DevOps specialist;Engineer, site reliability","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Neither satisfied nor dissatisfied,I am not interested in new job opportunities,C;C++;Python;Rust,Java;Python;SQL,Hadoop,,Github;Slack;Microsoft Teams;Stack Overflow for Teams,,Yes,Somewhat important,Fairly important,Just because;Having a bad day (or week or month) at work;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once every few years,Yes,Onboarding? What onboarding?,No,Sometimes: 1-2 days per month but less than weekly,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"10,000 or more employees",AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Raspberry Pi,Docker;Kubernetes;Linux,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,,Somewhat more welcome now than last year,45.0,9,2
892,I am a developer by profession,No,22.0,15,Yearly,27025.0,Italy,European Euro,EUR,Firebase;Microsoft SQL Server,Firebase;MariaDB;Microsoft SQL Server;MySQL;Oracle,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Educator","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,.NET Core;Cordova;Flutter;Node.js;React Native;TensorFlow;Unity 3D;Unreal Engine,.NET;.NET Core;Cordova,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Somewhat important,Fairly important,Just because;Having a bad day (or week or month) at work;Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Yes,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit;Research companies that have emailed me,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,10 to 19 employees,Android;Heroku;Windows,Android;AWS;Heroku;Linux;MacOS;Windows;WordPress,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Daily or almost daily,Easy,Appropriate in length,No,,Angular;ASP.NET Core;Gatsby;React.js,Angular;Angular.js;ASP.NET;ASP.NET Core;Laravel,Just as welcome now as I felt last year,40.0,9,4
893,I am a developer by profession,Yes,26.0,14,Yearly,105000.0,United States,United States dollar,USD,PostgreSQL,PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;How widely used or impactful my work output would be",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Go;JavaScript,Bash/Shell/PowerShell;C;Haskell;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,React Native,Node.js;React Native,"Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Better compensation;Wanting to work with new technologies;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Every few months,,Yes,Yes,Never,,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Go for a walk or other physical activity;Panic;Do other work and come back later,MacOS,100 to 499 employees,Android;AWS;Docker;iOS;Linux,Android;AWS;Docker;Heroku;iOS;Linux;MacOS;Slack Apps and Integrations,I have little or no influence,Straight / Heterosexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Gatsby;React.js;Ruby on Rails,Flask;Gatsby;React.js;Ruby on Rails,,35.0,8,5
894,I am a developer by profession,Yes,26.0,14,Yearly,85000.0,United States,United States dollar,USD,MongoDB,MongoDB;PostgreSQL;Redis,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack",Some college/university study without earning a degree,Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;Office environment or company culture;Opportunities for professional development,Very satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL;TypeScript,Node.js,Node.js,Github;Gitlab;Slack;Microsoft Teams,Github;Gitlab;Slack;Microsoft Teams,No,Somewhat important,Somewhat important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,No,Onboarding? What onboarding?,Yes,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Linux-based,20 to 99 employees,Linux;Windows,Linux;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;Express;Vue.js,Angular;Django;Express;React.js,Just as welcome now as I felt last year,35.0,12,6
895,I am a developer by profession,No,27.0,13,Yearly,66000.0,United States,United States dollar,USD,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;Oracle;SQLite,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile;Product manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;Python;SQL,.NET;.NET Core,.NET;.NET Core;Node.js,Jira;Slack,Jira;Slack,Yes,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Directly asking current or past employees at the company",Once a year,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Windows,10 to 19 employees,Android;Microsoft Azure;Windows,Android;AWS;iOS;Microsoft Azure;Windows,I have a great deal of influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Angular;ASP.NET;ASP.NET Core;jQuery;Vue.js,Angular;ASP.NET;ASP.NET Core;jQuery;Vue.js,Just as welcome now as I felt last year,40.0,14,6
